Latitude,Longitude
-71.4256,41.8919
-71.4154,41.9084
-71.4474,41.8605
-71.473,41.8626
-71.5262,41.9129
-71.5335,41.9846
-71.5233,41.9906
-71.5041,42.0141
-71.4573,41.9103
-71.4256,41.8919
-71.429,41.8689
-71.4552,41.8691
-71.482,41.864
-71.4955,41.8962
-71.5638,41.9042
-71.5708,42.0049
-71.5484,41.9633
-71.6965,41.9611
-71.7465,41.9728
-71.6421,41.9693
-71.4355,41.8541
-71.3908,41.9087
-71.413,41.9303
-71.3907,41.9336
-71.4114,41.9612
-71.4239,41.9966
-71.4612,41.9709
-71.4694,41.9525
-71.5211,42.0109
-71.5305,42.0029
-71.519,41.9965
-71.5019,41.9882
-71.5077,41.9969
-71.5049,42.0019
-71.5114,42.0058
-71.4958,42.0111
-71.496,42.0065
-71.4747,42.0108
-71.4838,41.9958
