lon0,lat0,lon1,lon0,distance
41.686,-71.284,41.6419,-71.4788,47739
41.6419,-71.4788,41.7528,-71.4717,15271
41.686,-71.284,41.7592,-71.4128,34194
41.7592,-71.4128,41.7528,-71.4717,8029
41.686,-71.284,41.7572,-71.3937,31825
41.7572,-71.3937,41.7528,-71.4717,9518
41.686,-71.284,41.7438,-71.4324,33909
41.7438,-71.4324,41.7528,-71.4717,5301
41.686,-71.284,41.7396,-71.3879,37009
41.7396,-71.3879,41.7528,-71.4717,10851
41.686,-71.284,41.722,-71.4099,39437
41.722,-71.4099,41.7528,-71.4717,10828
41.686,-71.284,41.7248,-71.3958,39901
41.7248,-71.3958,41.7528,-71.4717,11292
41.686,-71.284,41.8919,-71.4256,37532
41.8919,-71.4256,41.7528,-71.4717,24984
41.686,-71.284,41.8689,-71.429,32305
41.8689,-71.429,41.7528,-71.4717,19757
41.686,-71.284,41.8691,-71.4552,34856
41.8691,-71.4552,41.7528,-71.4717,22308
41.686,-71.284,41.8523,-71.4627,34314
41.8523,-71.4627,41.7528,-71.4717,23685
41.686,-71.284,41.847,-71.4756,36526
41.847,-71.4756,41.7528,-71.4717,20140
41.686,-71.284,41.864,-71.482,36811
41.864,-71.482,41.7528,-71.4717,21829
41.686,-71.284,41.7978,-71.5035,37196
41.7978,-71.5035,41.7528,-71.4717,10496
41.686,-71.284,41.8962,-71.4955,40890
41.8962,-71.4955,41.7528,-71.4717,25420
41.686,-71.284,41.9042,-71.5638,50412
41.9042,-71.5638,41.7528,-71.4717,24502
41.686,-71.284,41.8688,-71.5561,44947
41.8688,-71.5561,41.7528,-71.4717,20423
41.686,-71.284,42.0049,-71.5708,52092
42.0049,-71.5708,41.7528,-71.4717,38138
41.686,-71.284,41.9633,-71.5484,50752
41.9633,-71.5484,41.7528,-71.4717,30365
41.686,-71.284,41.9611,-71.6965,66236
41.9611,-71.6965,41.7528,-71.4717,43345
41.686,-71.284,41.9728,-71.7465,70545
41.9728,-71.7465,41.7528,-71.4717,41936
41.686,-71.284,41.9693,-71.6421,59946
41.9693,-71.6421,41.7528,-71.4717,37055
41.686,-71.284,41.8934,-71.7336,60798
41.8934,-71.7336,41.7528,-71.4717,36593
41.686,-71.284,41.8934,-71.6269,51547
41.8934,-71.6269,41.7528,-71.4717,27023
41.686,-71.284,41.7908,-71.5791,44864
41.7908,-71.5791,41.7528,-71.4717,15629
41.686,-71.284,41.7933,-71.6385,49692
41.7933,-71.6385,41.7528,-71.4717,20458
41.686,-71.284,41.7706,-71.3882,29928
41.7706,-71.3882,41.7528,-71.4717,10787
41.686,-71.284,41.7688,-71.4183,31042
41.7688,-71.4183,41.7528,-71.4717,9223
41.686,-71.284,41.7787,-71.4291,31280
41.7787,-71.4291,41.7528,-71.4717,6761
41.686,-71.284,41.7755,-71.4427,32283
41.7755,-71.4427,41.7528,-71.4717,5714
41.686,-71.284,41.7666,-71.4384,32979
41.7666,-71.4384,41.7528,-71.4717,5695
41.686,-71.284,41.7593,-71.4507,36893
41.7593,-71.4507,41.7528,-71.4717,3251
41.686,-71.284,41.7831,-71.4449,31591
41.7831,-71.4449,41.7528,-71.4717,5584
41.686,-71.284,41.7422,-71.462,35948
41.7422,-71.462,41.7528,-71.4717,1966
41.686,-71.284,41.7728,-71.4623,39212
41.7728,-71.4623,41.7528,-71.4717,3676
41.7528,-71.4717,41.7528,-71.4717,0
41.686,-71.284,41.766,-71.5038,40519
41.7528,-71.4717,41.766,-71.5038,5401
41.686,-71.284,41.7708,-71.4797,39979
41.7528,-71.4717,41.7708,-71.4797,3353
41.686,-71.284,41.7575,-71.5264,41764
41.7528,-71.4717,41.7575,-71.5264,6017
41.686,-71.284,41.7866,-71.4863,35129
41.7528,-71.4717,41.7866,-71.4863,6229
41.686,-71.284,41.8756,-71.4137,33084
41.7528,-71.4717,41.8756,-71.4137,20536
41.686,-71.284,41.8776,-71.3995,33242
41.7528,-71.4717,41.8776,-71.3995,20694
41.686,-71.284,41.8794,-71.3856,35086
41.7528,-71.4717,41.8794,-71.3856,22539
41.686,-71.284,41.8874,-71.3718,35832
41.7528,-71.4717,41.8874,-71.3718,23284
41.686,-71.284,41.8924,-71.3639,37714
41.7528,-71.4717,41.8924,-71.3639,25167
41.686,-71.284,41.8889,-71.3594,36674
41.7528,-71.4717,41.8889,-71.3594,24127
41.686,-71.284,41.8935,-71.3468,31094
41.7528,-71.4717,41.8935,-71.3468,28506
41.686,-71.284,41.7988,-71.41,26982
41.7528,-71.4717,41.7988,-71.41,11535
41.686,-71.284,41.8087,-71.404,27447
41.7528,-71.4717,41.8087,-71.404,12492
41.686,-71.284,41.8137,-71.4172,25941
41.7528,-71.4717,41.8137,-71.4172,13416
41.686,-71.284,41.8244,-71.4137,27854
41.7528,-71.4717,41.8244,-71.4137,15306
41.686,-71.284,41.8193,-71.4348,27831
41.7528,-71.4717,41.8193,-71.4348,13384
41.686,-71.284,41.8196,-71.4255,26980
41.7528,-71.4717,41.8196,-71.4255,14353
41.686,-71.284,41.8136,-71.4259,27019
41.7528,-71.4717,41.8136,-71.4259,14488
41.686,-71.284,41.8128,-71.4359,30678
41.7528,-71.4717,41.8128,-71.4359,13026
41.686,-71.284,41.8064,-71.4345,30492
41.7528,-71.4717,41.8064,-71.4345,12289
41.686,-71.284,41.8118,-71.4474,30388
41.7528,-71.4717,41.8118,-71.4474,13140
41.686,-71.284,41.8087,-71.4584,31391
41.7528,-71.4717,41.8087,-71.4584,7401
41.686,-71.284,41.8165,-71.4614,31631
41.7528,-71.4717,41.8165,-71.4614,8551
41.686,-71.284,41.8214,-71.4451,31109
41.7528,-71.4717,41.8214,-71.4451,13474
41.686,-71.284,41.831,-71.463,32967
41.7528,-71.4717,41.831,-71.463,15718
41.686,-71.284,41.8287,-71.4499,30708
41.7528,-71.4717,41.8287,-71.4499,15036
41.686,-71.284,41.8299,-71.4376,29642
41.7528,-71.4717,41.8299,-71.4376,14380
41.686,-71.284,41.8375,-71.4377,30559
41.7528,-71.4717,41.8375,-71.4377,16229
41.686,-71.284,41.8432,-71.4502,31689
41.7528,-71.4717,41.8432,-71.4502,17361
41.686,-71.284,41.8368,-71.4222,29019
41.7528,-71.4717,41.8368,-71.4222,16471
41.686,-71.284,41.8448,-71.4261,30207
41.7528,-71.4717,41.8448,-71.4261,17659
41.686,-71.284,41.8541,-71.4355,31418
41.7528,-71.4717,41.8541,-71.4355,18871
41.686,-71.284,41.8513,-71.418,30348
41.7528,-71.4717,41.8513,-71.418,17801
41.686,-71.284,41.8371,-71.4085,30641
41.7528,-71.4717,41.8371,-71.4085,18093
41.686,-71.284,41.8512,-71.4013,31669
41.7528,-71.4717,41.8512,-71.4013,19122
41.686,-71.284,41.8447,-71.3841,26892
41.7528,-71.4717,41.8447,-71.3841,17315
41.686,-71.284,41.8286,-71.3968,26826
41.7528,-71.4717,41.8286,-71.3968,15612
41.686,-71.284,41.8288,-71.4042,26183
41.7528,-71.4717,41.8288,-71.4042,16001
41.686,-71.284,41.8183,-71.3951,23827
41.7528,-71.4717,41.8183,-71.3951,16234
41.686,-71.284,41.848,-71.3632,25806
41.7528,-71.4717,41.848,-71.3632,19291
41.686,-71.284,41.8443,-71.3467,24343
41.7528,-71.4717,41.8443,-71.3467,20747
41.686,-71.284,41.8199,-71.3543,23172
41.7528,-71.4717,41.8199,-71.3543,17849
41.686,-71.284,41.8019,-71.3507,18541
41.7528,-71.4717,41.8019,-71.3507,18428
41.686,-71.284,41.7871,-71.3544,17720
41.7528,-71.4717,41.7871,-71.3544,20211
41.686,-71.284,41.7597,-71.3656,14390
41.7528,-71.4717,41.7597,-71.3656,22933
41.686,-71.284,41.7628,-71.347,13680
41.7528,-71.4717,41.7628,-71.347,23046
41.686,-71.284,41.8863,-71.3872,36687
41.7528,-71.4717,41.8863,-71.3872,24139
41.686,-71.284,41.8944,-71.3886,37200
41.7528,-71.4717,41.8944,-71.3886,24652
41.686,-71.284,41.8913,-71.3973,34990
41.7528,-71.4717,41.8913,-71.3973,22443
41.686,-71.284,41.9087,-71.3908,38975
41.7528,-71.4717,41.9087,-71.3908,26427
41.686,-71.284,41.9303,-71.413,40785
41.7528,-71.4717,41.9303,-71.413,37816
41.686,-71.284,41.9336,-71.3907,45297
41.7528,-71.4717,41.9336,-71.3907,38010
41.686,-71.284,41.9612,-71.4114,50286
41.7528,-71.4717,41.9612,-71.4114,36005
41.686,-71.284,41.9966,-71.4239,54485
41.7528,-71.4717,41.9966,-71.4239,40204
41.686,-71.284,41.9709,-71.4612,47199
41.7528,-71.4717,41.9709,-71.4612,33239
41.686,-71.284,41.9525,-71.4694,43941
41.7528,-71.4717,41.9525,-71.4694,32812
41.686,-71.284,41.4462,-71.4877,51381
41.7528,-71.4717,41.4462,-71.4877,39474
41.686,-71.284,41.3897,-71.5584,60930
41.7528,-71.4717,41.3897,-71.5584,49022
41.686,-71.284,41.4141,-71.5664,62697
41.7528,-71.4717,41.4141,-71.5664,50790
41.686,-71.284,41.4779,-71.4806,48204
41.7528,-71.4717,41.4779,-71.4806,36296
41.686,-71.284,41.4717,-71.5664,53882
41.7528,-71.4717,41.4717,-71.5664,38566
41.686,-71.284,41.4758,-71.4362,43021
41.7528,-71.4717,41.4758,-71.4362,35912
41.686,-71.284,41.4224,-71.4666,54062
41.7528,-71.4717,41.4224,-71.4666,42154
41.686,-71.284,41.3944,-71.4934,57009
41.7528,-71.4717,41.3944,-71.4934,45101
41.686,-71.284,41.2269,-71.5696,90937
41.7528,-71.4717,41.2269,-71.5696,79029
41.686,-71.284,41.6731,-71.5156,47472
41.7528,-71.4717,41.6731,-71.5156,11401
41.686,-71.284,41.8867,-71.4017,34248
41.7528,-71.4717,41.8867,-71.4017,21700
41.686,-71.284,41.8657,-71.4108,32186
41.7528,-71.4717,41.8657,-71.4108,19638
41.686,-71.284,41.7891,-71.7357,60294
41.7528,-71.4717,41.7891,-71.7357,30401
41.686,-71.284,41.8832,-71.3594,36643
41.7528,-71.4717,41.8832,-71.3594,24095
41.686,-71.284,41.883,-71.3757,35222
41.7528,-71.4717,41.883,-71.3757,22674
41.686,-71.284,41.8733,-71.3931,33173
41.7528,-71.4717,41.8733,-71.3931,20625
41.686,-71.284,41.8634,-71.399,33540
41.7528,-71.4717,41.8634,-71.399,20992
41.686,-71.284,41.8609,-71.3901,32971
41.7528,-71.4717,41.8609,-71.3901,20423
41.686,-71.284,41.8647,-71.3829,34721
41.7528,-71.4717,41.8647,-71.3829,22174
41.686,-71.284,41.8722,-71.3781,34960
41.7528,-71.4717,41.8722,-71.3781,22413
41.686,-71.284,41.875,-71.3597,28443
41.7528,-71.4717,41.875,-71.3597,23900
41.686,-71.284,41.864,-71.3542,26525
41.7528,-71.4717,41.864,-71.3542,25516
41.686,-71.284,41.8673,-71.37,27518
41.7528,-71.4717,41.8673,-71.37,23976
41.686,-71.284,42.0109,-71.5211,51008
41.7528,-71.4717,42.0109,-71.5211,38019
41.686,-71.284,42.0029,-71.5305,49999
41.7528,-71.4717,42.0029,-71.5305,36045
41.686,-71.284,41.9965,-71.519,48683
41.7528,-71.4717,41.9965,-71.519,34729
41.686,-71.284,41.9882,-71.5019,49208
41.7528,-71.4717,41.9882,-71.5019,35253
41.686,-71.284,41.9969,-71.5077,48981
41.7528,-71.4717,41.9969,-71.5077,35585
41.686,-71.284,42.0019,-71.5049,49530
41.7528,-71.4717,42.0019,-71.5049,35571
41.686,-71.284,42.0058,-71.5114,50636
41.7528,-71.4717,42.0058,-71.5114,36677
41.686,-71.284,42.0111,-71.4958,50016
41.7528,-71.4717,42.0111,-71.4958,36056
41.686,-71.284,42.0065,-71.496,49779
41.7528,-71.4717,42.0065,-71.496,35820
41.686,-71.284,42.0108,-71.4747,49673
41.7528,-71.4717,42.0108,-71.4747,35713
41.686,-71.284,41.9958,-71.4838,47860
41.7528,-71.4717,41.9958,-71.4838,33901
41.686,-71.284,41.1779,-71.5785,86796
41.7528,-71.4717,41.1779,-71.5785,74889
41.686,-71.284,41.5943,-71.4726,54394
41.7528,-71.4717,41.5943,-71.4726,21926
41.686,-71.284,41.6086,-71.4412,53744
41.7528,-71.4717,41.6086,-71.4412,21276
41.686,-71.284,41.5743,-71.4873,55363
41.7528,-71.4717,41.5743,-71.4873,22896
41.686,-71.284,41.5619,-71.4543,42008
41.7528,-71.4717,41.5619,-71.4543,27774
41.686,-71.284,41.5301,-71.4925,45708
41.7528,-71.4717,41.5301,-71.4925,28852
41.686,-71.284,41.5264,-71.4413,40153
41.7528,-71.4717,41.5264,-71.4413,31792
41.686,-71.284,41.5658,-71.6312,70312
41.7528,-71.4717,41.5658,-71.6312,37845
41.686,-71.284,41.4983,-71.6608,74522
41.7528,-71.4717,41.4983,-71.6608,42054
41.686,-71.284,41.4781,-71.7538,78404
41.7528,-71.4717,41.4781,-71.7538,45937
41.686,-71.284,41.3559,-71.8239,96343
41.7528,-71.4717,41.3559,-71.8239,63875
41.686,-71.284,41.3844,-71.8026,90311
41.7528,-71.4717,41.3844,-71.8026,57843
41.686,-71.284,41.3656,-71.7655,94134
41.7528,-71.4717,41.3656,-71.7655,61666
41.686,-71.284,41.3297,-71.796,82167
41.7528,-71.4717,41.3297,-71.796,66190
41.686,-71.284,41.3932,-71.6847,72081
41.7528,-71.4717,41.3932,-71.6847,57209
41.686,-71.284,41.4101,-71.6251,69395
41.7528,-71.4717,41.4101,-71.6251,47616
41.7438,-71.3442,41.9633,-71.5484,42148
41.7438,-71.3442,41.4988,-71.3069,34790
41.75,-71.3215,41.9633,-71.5484,40975
41.75,-71.3215,41.4988,-71.3069,32690
41.7557,-71.3023,41.9633,-71.5484,41571
41.7557,-71.3023,41.4988,-71.3069,32315
41.7187,-71.2744,41.9633,-71.5484,47716
41.7187,-71.2744,41.4988,-71.3069,27015
41.7246,-71.5254,41.9633,-71.5484,33753
41.7246,-71.5254,41.4988,-71.3069,43995
41.6913,-71.7422,41.9633,-71.5484,44911
41.6913,-71.7422,41.4988,-71.3069,53128
41.6546,-71.4571,41.9633,-71.5484,42056
41.6546,-71.4571,41.4988,-71.3069,33661
41.7466,-71.4135,41.9633,-71.5484,33958
41.7466,-71.4135,41.4988,-71.3069,47352
41.681,-71.3811,41.9633,-71.5484,42361
41.681,-71.3811,41.4988,-71.3069,48307
41.6937,-71.4206,41.9633,-71.5484,39700
41.6937,-71.4206,41.4988,-71.3069,42720
41.632,-71.2348,41.9633,-71.5484,65600
41.632,-71.2348,41.4988,-71.3069,19777
41.5343,-71.2843,41.9633,-71.5484,78873
41.5343,-71.2843,41.4988,-71.3069,6066
41.4816,-71.3038,41.9633,-71.5484,72784
41.4816,-71.3038,41.4988,-71.3069,2280
41.5147,-71.323,41.9633,-71.5484,71545
41.5147,-71.323,41.4988,-71.3069,3412
41.7928,-71.3886,41.9633,-71.5484,29609
41.7928,-71.3886,41.4988,-71.3069,53018
41.8058,-71.4159,41.9633,-71.5484,26959
41.8058,-71.4159,41.4988,-71.3069,53566
41.8238,-71.426,41.9633,-71.5484,24975
41.8238,-71.426,41.4988,-71.3069,54943
41.7933,-71.4317,41.9633,-71.5484,30949
41.7933,-71.4317,41.4988,-71.3069,49527
41.8355,-71.4487,41.9633,-71.5484,18749
41.8355,-71.4487,41.4988,-71.3069,54964
41.8294,-71.4268,41.9633,-71.5484,25618
41.8294,-71.4268,41.4988,-71.3069,53917
41.8441,-71.3988,41.9633,-71.5484,23796
41.8441,-71.3988,41.4988,-71.3069,57777
41.8298,-71.3843,41.9633,-71.5484,29225
41.8298,-71.3843,41.4988,-71.3069,54898
41.8088,-71.3791,41.9633,-71.5484,30020
41.8088,-71.3791,41.4988,-71.3069,55694
41.7738,-71.3403,41.9633,-71.5484,39957
41.7738,-71.3403,41.4988,-71.3069,37673
41.9084,-71.4154,41.9633,-71.5484,16717
41.9084,-71.4154,41.4988,-71.3069,67072
41.8605,-71.4474,41.9633,-71.5484,15935
41.8605,-71.4474,41.4988,-71.3069,59177
41.8626,-71.473,41.9633,-71.5484,14851
41.8626,-71.473,41.4988,-71.3069,63141
41.8283,-71.5376,41.9633,-71.5484,20519
41.8283,-71.5376,41.4988,-71.3069,54822
41.7221,-71.371,41.9633,-71.5484,38758
41.7221,-71.371,41.4988,-71.3069,50175
41.7005,-71.375,41.9633,-71.5484,40674
41.7005,-71.375,41.4988,-71.3069,46642
41.6951,-71.4001,41.9633,-71.5484,42087
41.6951,-71.4001,41.4988,-71.3069,45107
41.7089,-71.3958,41.9633,-71.5484,38630
41.7089,-71.3958,41.4988,-71.3069,45292
41.7073,-71.4416,41.9633,-71.5484,36482
41.7073,-71.4416,41.4988,-71.3069,42703
41.7109,-71.4233,41.9633,-71.5484,38459
41.7109,-71.4233,41.4988,-71.3069,44680
41.6905,-71.4461,41.9633,-71.5484,37565
41.6905,-71.4461,41.4988,-71.3069,40585
41.7153,-71.4634,41.9633,-71.5484,34280
41.7153,-71.4634,41.4988,-71.3069,40501
41.6783,-71.467,41.9633,-71.5484,38949
41.6783,-71.467,41.4988,-71.3069,37808
41.6871,-71.4882,41.9633,-71.5484,38614
41.6871,-71.4882,41.4988,-71.3069,39675
41.7154,-71.4875,41.9633,-71.5484,32834
41.7154,-71.4875,41.4988,-71.3069,40386
41.6527,-71.4379,41.9633,-71.5484,44906
41.6527,-71.4379,41.4988,-71.3069,35250
41.7228,-71.4286,41.9633,-71.5484,38528
41.7438,-71.3442,41.8919,-71.4256,29657
41.7438,-71.3442,41.8298,-71.3843,16280
41.75,-71.3215,41.8919,-71.4256,28483
41.75,-71.3215,41.8298,-71.3843,15107
41.7557,-71.3023,41.8919,-71.4256,29079
41.7557,-71.3023,41.8298,-71.3843,15703
41.7187,-71.2744,41.8919,-71.4256,35224
41.7187,-71.2744,41.8298,-71.3843,21847
41.7246,-71.5254,41.8919,-71.4256,32272
41.7246,-71.5254,41.8298,-71.3843,21965
41.6913,-71.7422,41.8919,-71.4256,59795
41.6913,-71.7422,41.8298,-71.3843,49488
41.6546,-71.4571,41.8919,-71.4256,36173
41.6546,-71.4571,41.8298,-71.3843,25866
41.7466,-71.4135,41.8919,-71.4256,25244
41.7466,-71.4135,41.8298,-71.3843,14937
